valid_time,t2m,latitude,longitude,tp,hour,day,dayofweek,month,year,is_weekend,t2m_lag_1,t2m_lag_24,tp_lag_1,tp_lag_24,t2m_rollmean_3,t2m_rollmean_24
2022-10-21 00:00:00,29.296188,34.900000000001064,10.799999999999985,0.0,0,21,4,10,2022,0,29.358066,29.235785,0.0,0.0,29.355539000000004,29.466464666666667
2022-10-21 01:00:00,29.24004,34.900000000001064,10.799999999999985,0.0,1,21,4,10,2022,0,29.296188,29.173978,0.0,0.0,29.298098,29.469217250000003
2022-10-21 02:00:00,29.18916,34.900000000001064,10.799999999999985,0.0,2,21,4,10,2022,0,29.24004,29.149023,0.0,0.0,29.241796000000004,29.470889625
2022-10-21 03:00:00,29.155432,34.900000000001064,10.799999999999985,0.0,3,21,4,10,2022,0,29.18916,29.131055,0.0,0.0,29.194877333333334,29.471905333333336
2022-10-21 04:00:00,29.134094,34.900000000001064,10.799999999999985,0.0,4,21,4,10,2022,0,29.155432,29.119727,0.0,0.0048428774,29.159562000000005,29.472503958333334
2022-10-21 05:00:00,29.121735,34.900000000001064,10.799999999999985,0.0,5,21,4,10,2022,0,29.134094,29.105743,0.0,0.0090152025,29.137086999999998,29.473170291666666
2022-10-21 06:00:00,29.140408,34.900000000001064,10.799999999999985,0.0,6,21,4,10,2022,0,29.121735,29.10016,0.0,0.008940697,29.132079,29.474847291666666
2022-10-21 07:00:00,29.338397,34.900000000001064,10.799999999999985,0.0,7,21,4,10,2022,0,29.140408,29.255566,0.0,0.0044703484,29.20018,29.47829858333333
2022-10-21 08:00:00,29.581604,34.900000000001064,10.799999999999985,0.0,8,21,4,10,2022,0,29.338397,29.456647,0.0,0.0,29.353469666666665,29.483505124999997
2022-10-21 09:00:00,29.692108,34.900000000001064,10.799999999999985,0.0,9,21,4,10,2022,0,29.581604,29.574493,0.0,0.0,29.537369666666667,29.488405750000002
2022-10-21 10:00:00,29.77965,34.900000000001064,10.799999999999985,0.0,10,21,4,10,2022,0,29.692108,29.671317,0.0,0.0,29.684454,29.492919625
2022-10-21 11:00:00,29.841766,34.900000000001064,10.799999999999985,0.0,11,21,4,10,2022,0,29.77965,29.742126000000003,0.0,0.0,29.771174666666667,29.497071291666668
2022-10-21 12:00:00,29.87649,34.900000000001064,10.799999999999985,0.0,12,21,4,10,2022,0,29.841766,29.795407,0.0,0.00858307,29.832635333333332,29.50044975
2022-10-21 13:00:00,29.884442,34.900000000001064,10.799999999999985,0.0,13,21,4,10,2022,0,29.87649,29.824197,0.0,0.0,29.867566,29.502959958333335
2022-10-21 14:00:00,29.86329,34.900000000001064,10.799999999999985,0.0,14,21,4,10,2022,0,29.884442,29.820013,0.0,0.0,29.874740666666668,29.504763166666667
2022-10-21 15:00:00,29.825674,34.900000000001064,10.799999999999985,0.0,15,21,4,10,2022,0,29.86329,29.779034000000003,0.0,0.0,29.857801999999996,29.506706499999996
2022-10-21 16:00:00,29.771667,34.900000000001064,10.799999999999985,0.0,16,21,4,10,2022,0,29.825674,29.707100000000004,0.0,0.0,29.820210333333335,29.50939679166667
2022-10-21 17:00:00,29.698328,34.900000000001064,10.799999999999985,0.0,17,21,4,10,2022,0,29.771667,29.629852,0.0,0.0,29.765223000000002,29.51224995833333
2022-10-21 18:00:00,29.639908,34.900000000001064,10.799999999999985,0.0,18,21,4,10,2022,0,29.698328,29.584137,0.0,0.0085068996,29.703301,29.51457375
2022-10-21 19:00:00,29.622058,34.900000000001064,10.799999999999985,0.0,19,21,4,10,2022,0,29.639908,29.548962,0.0,0.0001025955499999,29.65343133333333,29.517619416666665
2022-10-21 20:00:00,29.583777,34.900000000001064,10.799999999999985,0.0,20,21,4,10,2022,0,29.622058,29.503345000000003,0.0,0.0,29.615247666666665,29.52097075
2022-10-21 21:00:00,29.555267,34.900000000001064,10.799999999999985,0.0,21,21,4,10,2022,0,29.583777,29.456653,0.0,0.0,29.587034,29.52507966666667
2022-10-21 22:00:00,29.532126,34.900000000001064,10.799999999999985,0.0,22,21,4,10,2022,0,29.555267,29.412363,0.0,0.0,29.557056666666668,29.530069791666666
2022-10-21 23:00:00,29.511722,34.900000000001064,10.799999999999985,0.0,23,21,4,10,2022,0,29.532126,29.358066,0.0,0.0,29.533038333333334,29.536472125
2022-10-22 00:00:00,29.495474,34.900000000001064,10.799999999999985,0.0,0,22,5,10,2022,1,29.511722,29.296188,0.0,0.0,29.513107333333334,29.544775708333333
2022-10-22 01:00:00,29.47971,34.900000000001064,10.799999999999985,0.0,1,22,5,10,2022,1,29.495474,29.24004,0.0,0.0,29.495635333333336,29.55476195833333
2022-10-22 02:00:00,29.459125,34.900000000001064,10.799999999999985,0.0,2,22,5,10,2022,1,29.47971,29.18916,0.0,0.0,29.478103000000004,29.566010500000004
2022-10-22 03:00:00,29.437146,34.900000000001064,10.799999999999985,0.0,3,22,5,10,2022,1,29.459125,29.155432,0.0,0.0,29.45866033333333,29.577748583333335
2022-10-22 04:00:00,29.42055,34.900000000001064,10.799999999999985,0.0,4,22,5,10,2022,1,29.437146,29.134094,0.0,0.0,29.438940333333335,29.58968425
2022-10-22 05:00:00,29.408014,34.900000000001064,10.799999999999985,0.0,5,22,5,10,2022,1,29.42055,29.121735,0.0,0.0,29.421903333333333,29.601612541666668
2022-10-22 06:00:00,29.409814,34.900000000001064,10.799999999999985,0.0,6,22,5,10,2022,1,29.408014,29.140408,0.0,0.0,29.412792666666665,29.612837791666667
2022-10-22 07:00:00,29.53752,34.900000000001064,10.799999999999985,0.0,7,22,5,10,2022,1,29.409814,29.338397,0.0,0.0,29.45178266666667,29.621134583333333
